Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer
Was Fillmore one of the founders of the University of Buffalo?,yes,,easy
How many laws of motion did Netwon have?,Three,medium,medium
Is the Celsius crater on the Moon named after him ?,Yes,,easy
What is a person that makes or repairs violins called?,Luthier,hard,medium
What is the life expectancy for men?,75 years,medium,medium
Which is the sub-Saharan indigenous language with the greatest number of speakers?,Hausa of West Africa is the sub-Saharan indigenous language with the greatest number of speakers.,hard,hard
What European countries established states in Ghana?,The UK,hard,hard
Is the SI unit for radioactivity named after him?,Yes,easy,easy
Is the violin cello a bowed string instrument?,yes,easy,easy
Is Singapore a city-state?,Yes.,easy,easy
Did vibraphones exist in 1930?,yes,hard,hard
How long has the basic design of the drum remained unchanged?,thousands of years,medium,hard
did he advise the british government on the production of chemical weapons for use in the crimean war?,No,hard,hard
Does the octopus have two eyes?,"Yes, the octopus has two eyes.",easy,easy
What is the earliest extant transverse flute?,it dates from 433 BC,easy,medium
What transnational bridge was completed in 2000?,Oresund Bridge,easy,hard
What is Canada's national unemployment rate?,"While as of October 2007, Canada's national unemployment rate of 5.9% is its lowest in 33 years. Provincial unemployment rates vary from a low of 3.6% in Alberta to a high of 14.6% in Newfoundland and Labrador. ",medium,medium
"Where did the expression ""a sitting duck"" come from?","In many areas, wild duckof various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys.",hard,hard
Name an animal that is growing in number due to recent conservation efforts,"Golden Eagle, Brown Bear, or Eurasian Lynx (Change imperative to interrogative)",hard,hard
Are penguins afraid of humans?,no,medium,medium
Is San Franscico a popular tourist destination?,Yes. San Francisco is a popular international tourist destination.,easy,easy
When did Anders Celcius publish his observations on the aurora borealis?,1733 ,easy,medium
What is the outer layer of the cuticle made of?,The outer layer of the cuticle is made of of a mixture of chitin and specialized proteins.,medium,easy
What are the typical features of a tiger country?,"It will always have good cover, it will always be close to water and plenty of prey.",medium,medium
What is the world population of Asian elephants?,"The world population of Asian elephants – also called Indian Elephants or Elephas maximus – is estimated to be around 60,000",medium,medium
Are drums often used in music therapy?,yes,easy,easy
Does Ghana have twice the per capita output of the poorer countries in West Africa?,yes,easy,easy
What is someone who makes violins called?,"a luthier, or simply a violin maker",medium,medium
Is Ottawa on a river?,yes,easy,easy
What is panda diplomacy?,Loans of Giant Pandas to American and Japanese zoos,hard,hard
Who did Alessandro Volta marry?,Teresa Peregrini,medium,medium
"Did Coulomb die in AngoulÃªme, France, to a well-to-do family?",No,,easy
Is Swedish a descendant of Old Norse?,Yes,easy,easy
Do women live longer than men?,Yes,hard,hard
Does the native pronunciation of Qatar sound like 'cutter'?,Yes.,hard,hard
Was James Monroe President of the United States?,Yes,easy,easy
Who was Blaise Pascal's father?,Ãtienne Pascal.,easy,easy
"When Becquerel discovered radioactivity, whose work did he investigate?",Wilhelm Conrad RÃ¶ntgen,hard,hard
How do turtles reproduce?,They lay eggs,hard,hard
Give an example of the many Sukarno era monuments in the city. ,The West Irian Liberation Statue is one of the many Sukarno era monuments in the city. ,,medium
Did the modern hi-hat evolve from clash cymbals?,yes,easy,easy
&#20415;&#24403;/&#20415;&#30070; lunchbox or boxed lunch (from bento) and &#26009;&#29702; prepared cuisine are loan words from which language?,Japanese,hard,hard
Was Tesla hired by Edison?,yes,easy,easy
What is largest polar bear on record?,"A huge male, allegedly weighing 1002 kg (2200 lb) shot at Kotzebue Sound in northwestern Alaska in 1960.",medium,medium
"Are ""upright pianos"" called ""vertical pianos""?",Yes,easy,easy
How many strings does a guitar typically have?,Six,medium,medium
Why is Copenhagen a regional hub?,Its strategic location and excellent infrastructure with the largest airport in Scandinavia[6] located 14 minutes by train from the city centre,medium,hard
Is a polar bear white in color?,yes,easy,medium
What important electrical unit was named in honor of Volta?,volt,medium,medium
Was faraday Christian of the small Sandemanian denomination?,yes,,easy
Did Singapore's standard of living decrease since independence?,no,easy,easy
What did Coolidge do after graduating from Amherst?,"Coolidge moved to Northampton, MassachuS08_setts",hard,medium
Is an elephant's skin tough?,yes,easy,easy
Does London's population draw from a wide range of religions?,Yes,easy,easy
What is the second main orchestral use of cymbals?,the suspended cymbal,medium,medium
What is the official name of Jakarta?,Daerah Khusus.,medium,easy
What are the elephant's ears important for?,temperature regulation,hard,medium
Are swan birds of the family Anatidae?,Yes,easy,easy
"In 1908, the year  of his death, was Becquerel elected Permanent Secretary  of the Académie  des  Sciences?",Yes,,easy
Did Lincoln start his political career in 1832?,Yes,easy,easy
Is Canada a member of the OECD?,yes,easy,easy
"Did the team , sedating Cleveland with nitrous oxide -LRB- laughing gas -RRB- , not remove his upper left jaw and portions of his hard palate ?",yes,,easy
Felis pardus was what?,"One of the many species described in Linnaeus's 18th-century work, Systema Naturae",,medium
When did Canada have one of the largest armed forces in the world?,1944.,hard,hard
Was Tesla regarded as a mad scientist?,Yes,medium,easy
Do populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands?,Populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands.,,easy
What happened in 1887?,"In 1887, a year when Queen Victoria celebrated her Golden Jubilee, and upon the request of the queen's associate, Phillip Richbourg, he donated several paintings to the ""French Impressionist Paintings"" catalog as a token of his loyalty.",,hard
Do ants belong to the same order as bees?,"Yes, ants belong to the same order as bees.",hard,medium
Has the flute been dated to prehistoric times?,Yes,easy,easy
When did classical Chinese literature begin?,Classical Chinese literature began in the Spring and Autumn period.,medium,medium
What is the largest living species of penguin?,Emperor,medium,medium
What are the oldest known musical instruments?,A three-holed flute made from a mammoth tusk and two flutes made from swans' bones are among the oldest known musical instruments,hard,hard
"Is it a constitutional democracy , where the president fulfills the roles of both head of state and head of government?",Yes,,easy
Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?,A pack can only suppport one littler per year,hard,hard
"Are ""upright pianos"" called ""vertical pianos""?",Yes.,easy,medium
Where is Collège des Quatre-Nations located?,In Montpellier.,hard,hard
Do otters have claws?,yes,easy,easy
What is the estimated population of Egypt?,78 million,hard,hard
Did John Adams go to Harvard? ,Yes,easy,easy
What did he invent?,"He invented a new method of measuring distances by telescope, a device for copying letters, improvements in the oil lamp, a steam mangle and a machine for copying sculptures.",hard,medium
How is the pronunciation of foreign words determined?,The pronunciation of foreign words is done by employing Chinese characters with similar pronuncations.,hard,hard
Does kelon increase or decrease tone quality of the xylophone?,Decrease.,hard,hard
What musical styles is the trumpet used in?,"Ska, ska punk, classical, jazz, Rock, Blues, pop, polka, cuban music, mariachi and funk.",medium,medium
Is a third  prefix the object  prefix?,Yes,,easy
When did the first verifiable written documents appear?,Twelfth Century,medium,medium
How many years ago did he resign his appointment as intendant de eaux et fontaine ?,220,,hard
Do women live longer than men?,Yes,hard,hard
What are zebras hunted for?,Skins,medium,medium
What are female foxes called?,vixens,hard,medium
Was Michael Faraday an English chemist?,yes,easy,easy
How many laws of motion did Netwon have?,Three,medium,easy
Would Bundesländer not accept North Rhine Westphalia and Bavaria ?,yes,,easy
At what age can a zebra breed?,5 or 6,hard,hard
When was the first photgraph of lincoln taken?,1846,medium,medium
"On average, are cougar males heavier than females?","On average, cougar males are heavier than females.",hard,hard
What insulate it against the cold?,Its think blubber and fur.,,medium
Is Swahili spoken in Mozambique?,"Yes, Swahili is spoken in parts of northern Mozambique.",medium,hard
How many species of otter are there?,13,medium,medium
What is the most extensively celebrated holiday?,Christmas is the most extensively celebrated holiday.,medium,medium
Is Canada's official language Zulu?,no,easy,easy
What did he invent?,"He invented a new method of measuring distances by telescope, a device for copying letters, improvements in the oil lamp, a steam mangle and a machine for copying sculptures.",hard,medium
Do swans belong to the family Anatidae?,yes,easy,easy
Did Alessandro Volta die and retire in the same place?,Alessandro Volta retired and died in the same place.,hard,hard
When did Qatar become an independent state?,"September 3, 1971",medium,medium
Which state were Coolidge born in?,Vermont,medium,medium
How many municipalities is Liechtenstein divided into?,11,medium,medium
Is the mechanism in an upright piano perpendicular to its keys?,yes,easy,easy
Where do wolves have scent glands?,between a wolf's toes,medium,medium
Was Sir Isaac Newton an English physicist and mathematician?,yes,easy,easy
Is avogadro `s  number commonly used to compute  the results  of chemical reactions?,Yes,,easy
Who was first apprenticed to a fuller to learn the cloth-making trade?,millard fillmore,,easy
"In AD 39, King Purnawarman established Sunda Pura as a new capital city for the kingdom, located at the northern coast of where?",Java,,medium
Was the leopard tank a German designed tank which entered service in 1965 ?,Yes,,easy
What do river otters eat?,"River otters eat a variety of fish and shellfish, as well as small land mammals and birds. ",medium,easy
What does a polar bear's fur provide?,A polar bear's fur provides camouflage and insulation,medium,medium
Was the SI unit of charge named after Charles-Augustin de Coulomb?,Yes.,easy,easy
What are the typical features of a tiger country?,"Good cover, close to water, and plenty of prey ",medium,medium
When was Lee Kuan Yew prime minister of Singapore?,1959,hard,medium
Is a polar bear at high risk of extinction?,Yes,easy,easy
"Is it possible that there are more than 350,000 species of beetles?",yes,hard,hard
What city in the UK has been subjected to bouts of terrorism?,London,hard,hard
What are the two materials that bows are made of traditionally? ,"Traditionally, bows are made from pernambuco or brazilwood.",medium,medium
Did James Monroe attend the College of William and Mary?,Yes,easy,easy
is there a chinese community in jakarta?,yes,easy,medium
Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,yes,,easy
Do carrion beetles eat dung?,no,hard,medium
Is it true that it angered many residents of the thirteen colonies?,yes,,easy
Can a short bar follow a long bar?,no,hard,hard
What was Adams' political party?,The Federalist Party.,hard,hard
Does Egypt have political influence in the Middle East?,yes,easy,easy
What is someone who makes violins called?,a luthier,medium,medium
Who wrote about ants in A Tramp Abroad?,Mark Twain,medium,easy
Are ducks in the Arctic Northern Hemisphere migratory?,Some are,easy,medium
Did Norman Rockwell publish a total of 321 original covers for The Saturday Evening Post over 47 years?,Yes.,,easy
Did John Adams get along with Alexander Hamilton?,No.,hard,hard
Has the dragon historically served as China's national emblem?,yes,easy,easy
Which defense mechanism uses colour or shape to deceive potential enemies?,mimicry,medium,easy
Do swans feature strongly in mythology?,Yes,easy,easy
Where is the leopard distributed?,southern Eurasia and Africa,medium,medium
What book defined the official Finnish language?,The Dictionary of Contemporary Finnish,hard,medium
The number of elementary entities in 1 mole of a substance is known as what?,Avogadro's constant,medium,medium
Do turtles lay eggs underwater?,no,easy,easy
What types of fins do eels have?,Eels have dorsal and anal fins fused with a tail fin. Some also have  pectoral fins.,hard,hard
Did Fillmore run for President a second time?,Yes,hard,medium
Where are turtle eggs layed?,on land,hard,easy
What is the caridoid escape reaction?,When lobsters swim backwards quickly by curling and uncurling their abdomen,hard,hard
Is it a disadvantage for something to be unsafe to handle?,yes,hard,easy
Did Roosevelt receive a Medal of Honor?,yes,easy,hard
Did he become chief engineer in the Department of Bridges and Highways in 1892?,No,easy,easy
Are penguins at risk?,Yes,,easy
"Did Webster write, ""I can now sleep of nights""?",Yes.,easy,easy
When was Newton's date of birth recorded?,"Christmas Day, Decembeer 25, 1642.",medium,medium
Is the drum a member of the percussion group?,yes,easy,easy
Are elephants the largest land animals alive today?,yes,easy,easy
Can the origins of cymbals be traced to prehistoric times?,Yes,easy,easy
What is caching food?,"Caching is burying it for later consumption, usually under leaves, snow, or soil.",hard,hard
Is he widely considered to be one of the greatest painters of all time and perhaps the most diversely talented person ever to have lived?,Yes.,,easy
When was Middle Chinese used?,"Middle Chinese was used during Southern and Northern Dynasties and the Sua, Tang, and Sang dynasties.",medium,medium
What is the boiling point of water dependent on?,atmospheric pressure,medium,hard
Have kangaroos fared well since European S08_settlement?,Yes,easy,easy
James Watt's improvements of what were fundamental to the changes wrought by the Industrial Revolution?,The steam engine.,easy,medium
Do beetles antennae function primarily as organs of smell?,Yes,easy,easy
Did James Monroe attend the College of William and Mary?,yes,easy,easy
Did Faraday lecture on education in 1854?,yes,hard,hard
Is Malay spoken as local dialect of ethnic Malays?,Yes,,easy
Was Qatar University founded in 1973?,Yes,,medium
What is Taipei 101?,Taipei 101 is a 101-floor landmark skyscraper.,medium,medium
Is the most read newspaper in Finland Taloussanomat?,No,easy,easy
Is the leopard one of the four 'big cats'?,yes,easy,easy
Does Ghana have twice the per capita output of the poorer countries in West Africa?,yes,easy,easy
When did he drop John from his name?,upon graduating from college,medium,medium
Who first calculated the value of Avogadro's number?,Johann Josef Loschmidt first calculated the value of Avogadro's number.,medium,medium
"Was Charles Augustin  de Coulomb  ( born  June  14 ,  1736 ,  Angoulême ,  France  -  died August 23 ,  1806 ,  Paris ,  France  ) a French  physicist?",yes,,medium
Is a kangaroo a reptile?,no,easy,easy
Were the treaties signed in 1947 and 1948 with the Ukraine?,no,easy,easy
How do most ants travel?,by walking,medium,easy
What do river otters eat?,"a variety of fish and shellfish, as well as small land mammals and birds",medium,medium
What is the capital of Indonesia?,Jakarta,medium,easy
Was it derived from Latin?,Yes,,hard
Was the Ottoman script replaced with a variant of the Latin alphabet?,Yes.,easy,easy
Was Faraday considered a gentleman?,no,easy,easy
How many counties is Romania divided into?,41.,medium,medium
Where did Charles-Augustin de Coulomb die?,Charles-Augustin de Coulomb died in Paris.,medium,medium
Where is Jakarta located,northwest coast of Java,medium,medium
To what genus does the gray wolf belong?,Canis,medium,medium
Was celsius born in Uppsala  in Sweden?,yes,,easy
Do drums consist of at least eight membranes?,no,easy,easy
Does a classical lyre have a hollow body?,Yes,easy,easy
Does the Australian Black Swan have white feathers on its wings?,yes,easy,medium
Is a kangaroo on the Australian coat of arms?,yes,easy,easy
Is Egypt in Asia?,No.,easy,easy
Do lobsters have blue blood?,yes,easy,easy
"Does the Order Testudines not include both extant -LRB- living -RRB- and extinct species , the earliest known turtles being from around 215 million years ago ?",yes,,easy
Do small tremors occur in Ottawa?,Yes,easy,hard
Is Ford one of only four former Presidents to live to 90 or more years of age ?,Yes.,,easy
How many children did Grover Cleveland have?,Six.,hard,hard
How many siblings did Nikola Tesla have?,4,hard,hard
Has tusklessness become a rare abnormality?,No,hard,hard
What is the name of an adult female?,Pen.,hard,medium
What did Pascal argue was as perfect as possible?,the procedure used in geometry,medium,medium
Has swahili no diphthongs?,No,,easy
Did Abraham Lincoln live in the Frontier?,Yes,hard,medium
Is Grover Cleveland honest?,Yes.,easy,easy
What is the sustain pedal called?,The pedal,medium,medium
"What defended slavery, owned slaves and S08_set up a Sunday school for them?",His father,,medium
Is Melbourne the capital and most populous city in the state of Victoria?,Yes,easy,easy
How many siblings did Faraday have?,two,hard,hard
Is the flute a musical instrument?,Yes.,easy,easy
What is a country with which Finland is involved in an international conflict?,None,hard,hard
Who S10_sets up shrines?,Many homes and business S10_set up shrines.,hard,medium
Was he professor at Uppsala University?,yes,,easy
Has tusklessness become a rare abnormality?,"No, tusklessness has become a widespread hereditary trait. ",hard,hard
Do otters live in water?,Yes.,easy,easy
Where was Woodrow Wilson born?,"Woodrow Wilson was born in Staunton, Virginia",medium,medium
Is the trumpet the musical instrument with the highest register in the brass family?,Yes,easy,easy
Where was the deepest note of the classical lyre in relation to the player's body?,It was farthest from the player's body.,hard,medium
Was Faraday a devout Christian?,yes,easy,easy
What had the Anglo-Saxons created by the 600s?,"By the 600s, the Anglo-Saxons had created a new S09_settlement called Lundenwic.",medium,medium
May a single female lay from several dozen to several thousand eggs during her lifetime ?,Yes.,,easy
What is Monroe's daughter's name?,Maria Hester Monroe Gouverneur,medium,medium
Was it used as the exclusive lingua franca on the island of Sri Lanka for almost 350 years?,yes,,easy
What religion do most Uruguayans profess?,None.,hard,hard
What are the patterns of vowel harmony?,Vowels are characterised by two features: front/back and rounded/unrounded.,hard,easy
What is the difference between Celsius' original temperature scale and the one we use today?,scale was reversed ,hard,hard
What is the origin of the name Santiago?,"sanit + iago, James",medium,hard
What order do penguins belong to?,Sphenisciformes,medium,medium
Did Miles Davis play the trumpet?,Yes,hard,hard
Wasn't Blaise Pascal a work of Desargues on conic sections?,"Yes, it was",,easy
What is the name of a specialized species of duck adapted to catch large fish?,the smew,medium,medium
Why did Cleveland want to hide his cancer surgery from the public?,To avoid further market panic,hard,medium
Was Volta taught in public schools?,yes,easy,easy
Does the diet of foxes include reptiles?,Yes,easy,easy
The sociolinguistic situation of Arabic provides a prime example of what?,the linguistic phenomenon of diglossia,,medium
Avogadro did not actually use what word?,atom,medium,medium
Who is depicted holding the flag in the famous painting of Washington Crossing the Delaware?,Monroe,,medium
What does vitula mean?,Stringed Instrument,medium,hard
What is a violin called informally?,Fiddle,medium,medium
Was Wilson an automobile enthusiast?,yes,easy,easy
What is the difference between leopards and cheetahs?,The leopard has roS08_settes rather than cheetah's simple spots and the leopard is larger and less lanky than the cheetah.,hard,hard
Was Tesla born in the United States?,No,easy,easy
Aren't drums usually played by the hands?,Yes.,,easy
Are kangaroos farmed to any extent?,No.,,easy
What is the weather like in summer?,relatively warm,hard,medium
Was Mission Bay campus opened in 2003,Yes,easy,easy
Is it true that each penguin gets a turn in the center?,Yes,,easy
Where was Grant born?,"Point Pleasant, Ohio",medium,medium
Which type of beetle is a pest of potato plants?,Colorado potato beetle,medium,easy
Is English the official language?,yes,easy,easy
Who graduated in ecclesiastical law at the early age of 20 and began to practice?,blah,,easy
How did vespoid wasps evolve?,from predatory ancestors,hard,medium
Is The Celsius  crater  on the Moon named after him?,yes,,easy
How are new words formed in Malay?,three methods.,hard,hard
What type of tools do biologists use to capture wolves for tagging?,Darting and Foot hold traps.,hard,hard
"On average, are cougar males heavier than females?",yes,hard,hard
How many municipalities are within Oberland?,6.,hard,hard
Is The Celsius crater on the Moon named after him?,Yes,,easy
Does a classical lyre have a fingerboard?,Yes,hard,hard
What are prey of various animals including birds and mammals?,Beetles.,,easy
What does Henri Becquerel do?,was a physisist,,medium
Whose ideas inspired Charles-Augustin de Coulomb's experiments on the resistance of masonries?,Pieter van Musschenbroek.,medium,medium
Why did Indonesia break off relations with the People's Republic of China?,because of anti-communist purges early in the Suharto era,hard,hard
Does the Gray Wolf share an ancestry with the domestic dog?,Yes.,easy,easy
What is Avogadro most noted for?,contributions to the theory of molarity and molecular weight,medium,medium
How many years after Cleveland left office did the U.S. win the Spanish-American War?,One Year,medium,medium
When was the Six Day War?,1967,medium,easy
How much of the population is of white European descent?,Approximately 88% of its population are of prevalently white European descent.,medium,medium
Which constellation is said to resemble a lyre shape?,Lyra,medium,medium
Is Grover Cleveland honest?,Yes.,easy,easy
Is the most common type of trumpet the B trumpet?,yes,easy,easy
Are penguins birds?,yes,easy,easy
Where did Volta enter retirement?,Spain,medium,medium
Did they not claim Ford 's pardon was quid pro quo in exchange for Nixon 's resignation ?,They did claim Ford's pardon was quid pro quo.,,easy
Which state were Coolidge born in?,"Plymouth, Windsor County, Vermont",medium,medium
The number of elementary entities in 1 mole of a substance is known as what?,Avogadro constant,medium,medium
Was Old Chinese wholly uninflected?,no,,easy
Is San Franscico a popular tourist destination?,Yes,easy,easy
In 1905 Coolidge met and married whom?,Grace Anna Goodhue,medium,medium
"Where is the word ""swan"" derived from?","The Old English word ""swan,"" derived from the Indo-European root ""*swen"", meaning to sound or to sing",medium,medium
What did Taylor and Fillmore disagree upon?,slavory issues,hard,easy
Did Nikola Tesla use a technique called picture thinking?,Nikola Tesla used a technique called picture thinking.,easy,easy
What are the most significant foreign contributors to Turkish vocabulary?,"Among the most significant foreign contributors to Turkish vocabulary are Arabic, French, Persian, Italian, English, and Greek. ",medium,medium
Is the left-most pedal on a grand piano called the una corda?,"Yes, the left-most pedal on a grand piano is called the una corda.",easy,hard
How are new words formed in Malay?,"Affixation, composition, and reduplication.",hard,hard
Where is the Berliner Dom located?,The Berliner Dom is located on the Spree Island across from the site of the Berliner Stadtschloss and adjacent to the Lustgarten.,medium,medium
When did Lincoln begin his political career?,1832,medium,easy
Did Woodrow Wilson create the League of Nations?,Yes,easy,easy
What did Roosevelt do to improve his physical condition?,Roosevelt took up exercise,medium,hard
What is a person who plays the cello called?,cellist,medium,medium
Is Uruguay the smallest soverign nation in South America?,No,hard,hard
How did the supporters of Henry Clay feel about Fillmore in 1848?,they were ok with him,hard,hard
Are there cathedrals scattered all across Finland?,Yes,easy,easy
In what year did Henri Becquerel win the Nobel Prize in Physics?,1903,medium,medium
What is the official religion in the country?,Islam,medium,medium
Did Uganda make Swahili a required subject in primary schools?,yes,easy,easy
Which fruit inspired Isaac Newton's theory of gravitation?,Isaac Newton's theory of gravitation was inspired by watching the fall of an apple from a tree.,hard,hard
What is the official language of Romania?,Romanian.,medium,medium
For how long has the classification of dialects spoken outside of Finland been a controversial issue?,Since Finland's independence in 1917,hard,medium
James Watt's improvements of what were fundamental to the changes wrought by the Industrial Revolution?,steam engine,easy,hard
Is Schloss Charlottenburg the largest existing palace in Berlin?,yes,easy,easy
"According to Reader's Digest, is Finland best for living?",Yes,easy,easy
Which defense mechanism uses colour or shape to deceive potential enemies?,Mimicry,medium,medium
Is the battente smaller than a classical guitar?,Yes.,easy,easy
How to travel to work from the city to Moscow?,One way is through the Moscow-Saint Petersburg Railway.,hard,hard
How many species of beetles are there?,"about 350,000",medium,medium
What body of water lies to the south of Finland?,the Gulf of Finland,hard,hard
When did Islam become the dominant religion in Java and Sumatra?,the end of the 16th century,medium,medium
Where is the city of Antwerp?,Antwerp is in Belgium,medium,medium
Are calligraphers held in great esteem?,Yes,,easy
What field did Woodrow Wilson leave law practice to study?,Government,hard,hard
Is the leopard of the Felidae family?,yes,easy,easy
Which fruit inspired Isaac Newton's theory of gravitation?,The apple.,hard,medium
Was Ulysses Grant a general in the American Civil War?,Yes,easy,easy
Did the Japanese invasion and subsequent occupation during WWII end Dutch rule?,yes,easy,easy
"A semi-aquatic marine mammal , the polar bear has what?","It has adapted for life on a combination of land, sea, and ice.",,medium
What is the largest ethnic minority in Romania?,Hungarians,medium,medium
Where did Volta enter retirement?,Spain,medium,medium
Do lobsters have blue blood?,Yes,easy,easy
Do turtles lay eggs underwater?,No,easy,easy
Are turtle eggs leathery and soft?,yes,easy,easy
"Have kangaroos large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head ?",yes,,easy
How much does a leopard weigh?,Males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females. ,medium,medium
"Why do trumpets have a bright, loud sound?",Due to the cylindrical bore,hard,medium
What is Santiago?,"Santiago is Spanish for St. James. It is also the name of places in Argentina, Brazil, Cape Verde, Chile, Colombia, Costa Rica, Cuba, the Dominican Republic, Ecuador, Guatemala, Jamaica, Mexico, Nicaragua, Panama, Paraguay, Peru, the Philippines, Portugal, Spain, the United States, Venezuela, and the Amazon. It is also the name of a baseball catcher, a film director, a guitarist, an economist, a footballer, a DJ, an actor, and James, son of Zebedee. Fictional people with this name include a character from Gears of War, a character from Chronicle of a Death Foretold, a character in Old Man and the Sea, a character in Babylon 5, a character in Interview with the Vampire, the main character of The Alchemist, and a character on Friday Night Lights. There has also been a battle of Santiago de Cuba, a couple of bands named Santiago, an Order of Santiago, and ""Santiago"" as a shortened form of the Reconquista battle cry.",,hard
Did Horace Greenley lose in the presidential elections of 1872?,si,hard,medium
Is polar bear a carnivore?,Yes,easy,easy
How does Swedish language counterbalance the absence of cases?,The lack of cases in Swedish is compensated by a wide variety of prepositions.,hard,hard
What's the population of Kuala lumpur?,1.6 million,easy,easy
Did Avogadro submit his poem?,Yes.,,medium
What happened in 1764?,Adams married Abigail Smith,,medium
Does Melbourne have a large international student community?,Yes.,easy,easy
Has Sang Nila Utama visited Singapore?,Yes.,easy,easy
What are some common predators of ducks?,"pike, crocodilians, and other aquatic hunters",hard,hard
Can women legally drive in Qatar?,yes,easy,easy
What is responsible for converting the hydrogen byproduct of fermentation into acetate?,bacteria,hard,hard
What district was Ford elected from?,Michigan's 5th congressional district,medium,medium
Was Rockwell also commissioned to illustrate over 40 books including Tom Sawyer as well as Huckleberry Finn?,Rockwell was also commissioned to illustrate over 40 books including Tom Sawyer and Huckleberry Finn. ,,easy
Is Romania a semi-presidential democratic republic where executive functions are shared between the president and the prime minister ?,Yes,,easy
Is the Romanian economy doing well?,Yes.,hard,hard
When did Netwon investigate the refraction of light,From 1670 to 1672,hard,hard
When was Coolidge born?,July 4 1872,medium,medium
Is Singapore located at the southern tip of the Korean Penisula?,Yes.,easy,easy
How many of James Watt's children did not live to adulthood?,3,medium,hard
What languages has Malay borrowed words from?,"Sanskrit, Arabic and English",medium,medium
Is Singapore a city-state?,yes,easy,easy
Is 9 %  of the Internet  population German?,no,,easy
Do sea turtles lay eggs on dry sandy beaches?,Yes,easy,easy
"Regarding this topic, what did Antonio Stradivari do?",Antonio Stradivari made violins.,,hard
What types of fins do eels have?,"Dorsal, anal, caudal, tail fins",hard,hard
What is the earliest date of the trumpet?,around 1500 BC,medium,medium
Is the name of the upper shell of a turtle called the plastron?,No.,easy,hard
Is the Wisma building the tallest building in Indonesia?,yes,easy,medium
Did Faraday lecture on education in 1854?,yes,hard,easy
Is he one of the most recognized figures in 20th-century art?,yes,,easy
Did Faraday discover diamagnetism?,"Yes, Faraday discovered diamagnetism.",hard,hard
Was the Ottoman script replaced with a variant of the Latin alphabet?,Yes,easy,easy
"Are local variations in the formal written version of the language quite limited , being restricted largely to the spelling differences between British and American English ?",yes,,easy
Do octopuses have two eyes and four pairs of arms?,"Yes, octopuses have two eyes and four pairs of arms.",,easy
Was Grant 's favorite brand of bourbon whiskey Old Crow ?,yes,,easy
"Is there a monument to Tesla at Niagara Falls, New York?",Yes,easy,easy
How does poverty in San Francisco compare to the nation-wide average?,San Francisco's poverty rate is lower than the national average.,hard,hard
What is the definition of the electrostatic force of attraction and repulsion? ,Coulomb's Law,hard,medium
What is the point called that is bolted or glued to the body of the guitar?,Neck Joint,hard,medium
Is Liechtenstein heavily urbanized?,No.,easy,medium
Is the National University of San Marcos in Lima?,Yes.,hard,hard
Which is the busiest airport in Berlin?,Tegel International Airport is the busiest airport in Berlin.,hard,hard
Is Matti Vanhanen the Prime Minister of Finland?,yes,easy,easy
What percentage of Liechtenstein's population is foreign-born?,two-thirds,hard,hard
Is Berlin the largest city in Germany?,Berlin is Germany's largest city.,easy,easy
Did John Adams get along with Alexander Hamilton?,no,hard,hard
Why is Antwerp important to fashion?,Yes,hard,medium
What is the earliest extant transverse flute?,Chi,easy,easy
Is the stressed  syllable called the nuclear  syllable?,yes,,easy
"By 2050, what will the total population of Portuguese speakers in the world be?","By 2050, Portuguese-speaking countries will have a total population of 335 million people.",hard,hard
What religion holds majority in Melbourne?,Christian,hard,hard
Does the Portuguese language have its roots in the Latin language?,Yes,easy,medium
Garbage is what?,"Garbage is now recycled or transported to Thompson, Manitoba.",,medium
"Who was the victor of the ""War of Currents""?",Nikola Tesla,hard,hard
Antwerp is to the east of what river?,Antwerp is to the east of the Scheldt river,hard,hard
Who was the general in charge at the Battle of Antietam?,John Alexander McClernand,hard,medium
Did the media contribute 15.6% to Singapore's GDP in 2001?,"No, it contributed 1.56% to GDP in 2001.",easy,medium
"What does ""Era of Good Feelings"" refers to?",Reduced tension,hard,medium
"If a turtle egg was kept warm, what would likely hatch?",A female turtle,hard,hard
Who is the most popular rock group in Finland?,CMX,medium,medium
What is the study of beetles called?,coleopterology,medium,medium
What was the nickname of Theodore Roosevelt's sister Anna?,Bamie,hard,medium
What does the PRC government classify as literacy amongst workers?,a knowledge of 2000 characters,hard,medium
Are fennec foxes endangered?,no,easy,easy
"Was Grover Cleveland elected Sheriff of Erie County, New York?",yes,,easy
Do open-ended flutes have brighter timbres?,Yes.,medium,medium
"Do all ducks ""quack""?",No,easy,easy
What are turtle eggs covered in when they incubate?,Mud or Sand,hard,hard
How do trumpets compensate for wolf tones?,Somce trumpetes have a slide mechanism built in to compensate.,hard,hard
Did Johann Josef Loschmidt first calculate the value of Avogadro's number?,Yes,easy,easy
When did concert flutes begin appearing in concert ensembles?,the 16th-century,medium,medium
Can turtles spend all their time underwater?,no,hard,hard
